epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2500.22,1.90129,1.57834,1.377,0.48197,0.24721,0.25064,0.09981,2.50853,1.79122,1.05821,0.005842,0.005842,0.005842
44,2558.12,1.87434,1.56379,1.3668,0.41099,0.27654,0.26831,0.10513,2.47004,1.77288,1.03659,0.005743,0.005743,0.005743
45,2616.43,1.89116,1.57035,1.38102,0.4818,0.23743,0.25724,0.09926,2.50796,1.79552,1.03675,0.005644,0.005644,0.005644
46,2675.05,1.88399,1.55566,1.36403,0.44588,0.28492,0.26932,0.09789,2.46869,1.74867,1.03913,0.005545,0.005545,0.005545
47,2733.3,1.87666,1.54834,1.36638,0.42393,0.2486,0.24227,0.0905,2.57134,1.83759,1.05838,0.005446,0.005446,0.005446
48,2791.63,1.86515,1.54677,1.35808,0.44585,0.26676,0.26415,0.09654,2.51699,1.74708,1.05715,0.005347,0.005347,0.005347
49,2849.83,1.87803,1.52616,1.35562,0.45064,0.24976,0.23489,0.08576,2.45512,1.82712,1.06471,0.005248,0.005248,0.005248
50,2908.49,1.84695,1.5309,1.3607,0.47175,0.27514,0.27809,0.10521,2.47852,1.69739,1.04318,0.005149,0.005149,0.005149
51,2967.03,1.85898,1.53691,1.3585,0.37942,0.26536,0.22636,0.0845,2.5269,1.81605,1.06418,0.00505,0.00505,0.00505
52,3025.21,1.85002,1.51835,1.35406,0.4026,0.25884,0.23878,0.09421,2.46066,1.7855,1.05371,0.004951,0.004951,0.004951
53,3083.89,1.83316,1.48796,1.34561,0.43272,0.25355,0.25482,0.09976,2.50188,1.88214,1.05391,0.004852,0.004852,0.004852
54,3142.23,1.8395,1.49121,1.33857,0.42355,0.28073,0.26783,0.10877,2.44846,1.7041,1.04226,0.004753,0.004753,0.004753
55,3200.65,1.84284,1.47832,1.33819,0.50392,0.24022,0.26192,0.10128,2.48315,1.71151,1.0485,0.004654,0.004654,0.004654
56,3259.73,1.83497,1.48809,1.34643,0.46819,0.24468,0.2412,0.09649,2.52283,1.70746,1.06725,0.004555,0.004555,0.004555
57,3318.75,1.82276,1.49235,1.34076,0.45312,0.26676,0.26823,0.10162,2.43351,1.70024,1.04066,0.004456,0.004456,0.004456
58,3377.66,1.8241,1.46096,1.32598,0.46558,0.27514,0.2572,0.09953,2.46597,1.69574,1.05232,0.004357,0.004357,0.004357
59,3436.41,1.81698,1.4616,1.32881,0.5113,0.28771,0.30065,0.11634,2.41238,1.6241,1.03579,0.004258,0.004258,0.004258
60,3495.6,1.81571,1.46424,1.33353,0.48938,0.27173,0.27734,0.10929,2.42383,1.65504,1.02797,0.004159,0.004159,0.004159
61,3554.81,1.80876,1.46034,1.32618,0.48509,0.25419,0.26575,0.10204,2.45653,1.66977,1.04323,0.00406,0.00406,0.00406
62,3613.64,1.80458,1.42533,1.31616,0.44811,0.26257,0.26067,0.10205,2.47917,1.70567,1.04279,0.003961,0.003961,0.003961
63,3672.4,1.80039,1.44542,1.31826,0.48518,0.25698,0.25924,0.10024,2.4704,1.75449,1.04384,0.003862,0.003862,0.003862
64,3730.83,1.79715,1.43102,1.31218,0.46277,0.28492,0.29289,0.11565,2.42779,1.67051,1.02488,0.003763,0.003763,0.003763
65,3789.17,1.78072,1.40261,1.30525,0.43201,0.26117,0.2477,0.10009,2.47048,1.70765,1.05052,0.003664,0.003664,0.003664
66,3847.68,1.78098,1.41217,1.31117,0.4984,0.27654,0.2864,0.1117,2.454,1.69798,1.03342,0.003565,0.003565,0.003565
67,3905.62,1.775,1.40151,1.30352,0.42582,0.27448,0.25458,0.09776,2.46443,1.70461,1.04609,0.003466,0.003466,0.003466
68,3964.29,1.78199,1.40549,1.31242,0.46913,0.27793,0.28005,0.11158,2.41373,1.62724,1.03093,0.003367,0.003367,0.003367
69,4022.76,1.76535,1.39653,1.3021,0.49772,0.27541,0.28418,0.11251,2.40075,1.66177,1.0259,0.003268,0.003268,0.003268
70,4081.2,1.76216,1.38137,1.29584,0.445,0.30168,0.29345,0.11201,2.41773,1.63466,1.02246,0.003169,0.003169,0.003169
71,4139.91,1.76079,1.38087,1.30717,0.4598,0.29469,0.28088,0.10588,2.38372,1.64946,1.02261,0.00307,0.00307,0.00307
72,4198.38,1.75165,1.35715,1.29527,0.41284,0.27235,0.26371,0.10644,2.39845,1.68286,1.02624,0.002971,0.002971,0.002971
73,4257.23,1.76743,1.37919,1.29973,0.39748,0.26676,0.24564,0.09723,2.41546,1.69429,1.03153,0.002872,0.002872,0.002872
74,4315.86,1.75834,1.36562,1.29938,0.42534,0.28492,0.28198,0.10538,2.40622,1.64801,1.02288,0.002773,0.002773,0.002773
75,4374.72,1.74335,1.34407,1.28347,0.46706,0.27095,0.27289,0.10277,2.40617,1.65019,1.03171,0.002674,0.002674,0.002674
76,4433.24,1.73481,1.33398,1.27683,0.44489,0.26955,0.264,0.10111,2.41313,1.6887,1.03619,0.002575,0.002575,0.002575
77,4492.16,1.75842,1.36406,1.29474,0.42036,0.26536,0.26141,0.10061,2.42234,1.67362,1.03751,0.002476,0.002476,0.002476
78,4550.85,1.74225,1.33947,1.27988,0.43357,0.27514,0.27304,0.1044,2.38897,1.6602,1.02776,0.002377,0.002377,0.002377
79,4609.53,1.72956,1.32831,1.2791,0.41755,0.28435,0.25169,0.09681,2.41245,1.67398,1.03623,0.002278,0.002278,0.002278
80,4668.18,1.73793,1.3361,1.28023,0.42851,0.27374,0.24319,0.09612,2.39715,1.67137,1.0326,0.002179,0.002179,0.002179
81,4727.07,1.72895,1.32369,1.27055,0.47455,0.26816,0.26502,0.10606,2.39645,1.65383,1.02833,0.00208,0.00208,0.00208
82,4785.64,1.73733,1.32407,1.27851,0.48752,0.27654,0.274,0.10547,2.39512,1.66604,1.02762,0.001981,0.001981,0.001981
83,4844.58,1.70748,1.27916,1.26603,0.43811,0.2766,0.2705,0.10514,2.37582,1.66663,1.01987,0.001882,0.001882,0.001882
